account;outcome;evaluation;industry;propensity;contract;date;amount;days
277;Won;A;Academia;Good;Monthly;02-01-2022;521.192.776.123.855;29.154.582.124.554.800
278;Won;B;Government;Poor;Annual;02-01-2022;4.977.477.469.580.390;3.990.200.027.330.010
279;Lost;A;Manufacturing;Good;Annual;02-01-2022;45.161.957.206.891.700;34.896.570.883.300.700
280;Won;A;Manufacturing;Good;Monthly;02-01-2022;4.718.766.255.589.400;4.360.665.675.000.000
281;Won;B;Manufacturing;Good;Annual;02-01-2022;3.415.271.929.060.080;16.934.594.690.564.900
282;Won;A;Government;Good;Monthly;02-01-2022;5.952.521.596.018.500;4.370.935.674.738.230
283;Won;A;Government;Good;Monthly;02-01-2022;470.395.272.994.883;3.565.223.610.999.520
284;Won;None;Academia;Average;Monthly;02-01-2022;4.247.357.747.591.050;305.380.300.296.178
285;Lost;B;Manufacturing;Good;Monthly;02-01-2022;38.659.552.142.232.500;33.127.502.384.369.600
286;Lost;A;Manufacturing;Good;Annual;02-01-2022;39.319.565.484.411.500;2.783.481.863.481.250
287;Won;B;Finance;Good;Annual;02-01-2022;52.330.505.848.973.500;33.997.175.044.589.800
288;Lost;None;Manufacturing;Good;Monthly;02-01-2022;3.757.970.302.127.550;16.448.254.541.223.100
289;Won;B;Government;Average;Annual;02-01-2022;4.981.266.231.681.600;27.096.037.327.383.100
290;Won;B;Government;Average;Monthly;02-01-2022;45.962.013.678.641.700;2.949.227.184.291.280
291;Lost;A;Government;Good;Monthly;02-01-2022;4.806.731.010.367.080;30.266.754.375.077.700
292;Won;A;Energy;Good;Annual;02-01-2022;45.782.128.171.721.200;9.737.574.701.877.860
293;Won;B;Government;Average;Monthly;02-01-2022;4.188.062.858.490.730;4.206.635.260.632.110
294;Lost;A;Academia;Good;Monthly;02-01-2022;3.958.696.824.883.280;7.538.553.171.053.000
295;Lost;A;Academia;Average;Annual;02-01-2022;35.899.067.213.435.400;1.828.039.285.106.580
296;Lost;None;Manufacturing;Good;Monthly;02-01-2022;48.532.758.316.864.500;3.712.464.068.120.600
297;Won;B;Academia;Average;Annual;02-01-2022;419.274.553.785.623;19.987.091.945.473.300
298;Won;B;Manufacturing;Good;Annual;02-01-2022;4.451.201.525.543.970;3.105.178.664.773.250
299;Won;None;Energy;Good;Annual;02-01-2022;4.171.069.417.659.320;3.353.074.326.622.320
300;Lost;None;Government;Good;Monthly;02-01-2022;4.777.589.591.723.500;23.981.026.457.200.700
301;Lost;A;Government;Average;Monthly;02-01-2022;5.158.814.242.657.710;4.032.162.268.051.520
302;Won;None;Academia;Good;Monthly;02-01-2022;3.216.713.992.238.690;22.705.753.689.856.700
303;Won;B;Academia;Good;Annual;02-01-2022;36.225.327.888.853.000;28.431.155.192.646.600
304;Won;A;Government;Good;Annual;02-01-2022;4.392.540.597.213.190;3.806.689.348.275.820
305;Won;A;Government;Average;Monthly;02-01-2022;4.434.678.786.547.790;37.931.099.355.230.200
306;Won;B;Energy;Average;Annual;02-01-2022;4.347.494.636.230.810;2.308.536.216.660.220
307;Won;A;Government;Good;Monthly;02-01-2022;48.455.677.031.517.900;33.820.684.251.022.500
308;Won;None;Academia;Good;Annual;02-01-2022;40.085.569.559.511.100;18.517.170.119.672.100
309;Won;B;Government;Average;Monthly;02-01-2022;51.934.322.810.288.200;44.726.047.708.541.500
310;Lost;A;Government;Good;Monthly;02-01-2022;56.364.330.516.745.200;32.080.373.610.676.800
311;Won;A;Manufacturing;Good;Monthly;02-01-2022;51.278.236.584.320.200;328.477.398.135.931
312;Won;B;Government;Good;Monthly;02-01-2022;5.086.252.154.044.790;10.659.984.427.716.400
313;Lost;None;Government;Average;Monthly;02-01-2022;4.887.677.822.013.480;3.688.237.974.911.490
314;Lost;B;Academia;Poor;Annual;02-01-2022;31.605.739.999.060.100;504.007.813.934.961
315;Won;A;Manufacturing;Average;Annual;02-01-2022;44.372.646.646.779.700;29.461.343.889.258.500
316;Won;B;Academia;Average;Monthly;02-01-2022;3.252.034.077.194.510;1
317;Won;A;Government;Average;Monthly;02-01-2022;4.621.692.607.016.620;3.307.042.266.011
318;Won;A;Government;Good;Annual;02-01-2022;4.120.893.738.056.530;22.864.558.079.717.400
319;Won;A;Government;Good;Annual;02-01-2022;4.210.029.423.767.900;23.628.991.145.249.900
320;Lost;B;Academia;Good;Annual;02-01-2022;478.886.091.397.195;27.274.658.847.483.200
321;Won;B;Government;Poor;Annual;02-01-2022;4.739.929.428.427.570;19.923.017.516.039.200
322;Lost;B;Energy;Good;Monthly;02-01-2022;4.034.801.449.793.300;16.468.397.713.152.400
323;Won;A;Energy;Average;Monthly;02-01-2022;45.843.021.431.535.400;21.573.917.275.509.600
324;Won;None;Finance;Good;Monthly;02-01-2022;5.370.578.983.454.430;3.951.452.847.700.950
325;Lost;None;Manufacturing;Poor;Annual;02-01-2022;4.529.760.628.708.730;9.171.830.880.699.070
326;Won;A;Academia;Good;Monthly;02-01-2022;4.274.584.769.823.960;4.276.032.187.194.090
327;Won;B;Government;Average;Annual;02-01-2022;4.194.139.129.684.660;4.105.164.371.356.350
328;Lost;B;Academia;Average;Monthly;02-01-2022;4.674.137.260.756.590;29.879.215.493.495.900
329;Lost;None;Manufacturing;Average;Annual;02-01-2022;37.672.281.436.934.600;2.429.619.622.025.010
330;Lost;None;Manufacturing;Good;Monthly;02-01-2022;4.134.708.117.055.250;2.026.858.251.250.310
331;Won;B;Government;Good;Annual;02-01-2022;44.256.924.088.745.700;45.923.749.805.692.000
332;Won;None;Government;Poor;Annual;02-01-2022;37.412.013.201.825.500;25.107.105.086.716.000
333;Won;A;Manufacturing;Good;Monthly;02-01-2022;41.512.414.916.910.000;26.420.691.402.962.000
334;Won;A;Academia;Good;Annual;02-01-2022;40.248.394.268.858.300;23.701.113.019.226.200
335;Lost;A;Manufacturing;Good;Annual;02-01-2022;4.148.702.378.941.910;25.554.873.959.081.300
336;Lost;A;Government;Good;Monthly;02-01-2022;4.699.887.193.703.460;3.421.975.416.063.570
337;Lost;B;Energy;Good;Monthly;02-01-2022;5.266.422.613.069.770;41.206.030.206.579.900
338;Lost;A;Energy;Good;Monthly;02-01-2022;4.440.891.478.834.300;13.929.719.556.532.100
339;Won;A;Finance;Average;Monthly;02-01-2022;5.058.957.897.227.900;44.229.350.814.894.300
340;Lost;A;Manufacturing;Average;Monthly;02-01-2022;4.542.555.175.486.350;4.453.618.444.274.410
341;Won;B;Academia;Good;Annual;02-01-2022;4.451.353.281.188.200;4.501.675.159.757.270
342;Lost;None;Government;Poor;Annual;02-01-2022;51.081.280.446.912.200;47.074.393.266.767.500
343;Won;A;Energy;Average;Annual;02-01-2022;39.418.537.948.848.300;24.438.026.206.535.100
344;Lost;B;Manufacturing;Average;Monthly;02-01-2022;4.582.713.325.396.250;18.476.150.786.577.900
345;Won;None;Manufacturing;Average;Monthly;02-01-2022;4.734.714.933.909.690;4.837.275.864.757.980
346;Lost;B;Manufacturing;Good;Monthly;02-01-2022;4.021.717.892.815.270;45.322.692.800.727.700
347;Lost;None;Academia;Average;Annual;02-01-2022;40.705.871.184.548.400;21.179.995.775.329.000
348;Lost;B;Finance;Good;Monthly;02-01-2022;57.133.956.909.091.500;41.765.069.762.357.000
349;Lost;None;Manufacturing;Good;Monthly;02-01-2022;4.738.234.566.698.660;19.395.854.299.206.300
350;Lost;B;Government;Average;Monthly;02-01-2022;49.313.747.006.500.900;3.709.992.636.241.940
351;Won;None;Government;Good;Monthly;02-01-2022;4.659.929.866.617.630;29.616.029.374.205.100
352;Lost;B;Energy;Average;Monthly;02-01-2022;44.802.702.676.033.200;18.551.957.910.047.800
353;Lost;A;Government;Average;Monthly;02-01-2022;43.737.004.191.711.800;30.029.542.315.365.600
354;Lost;None;Government;Poor;Monthly;02-01-2022;4.131.803.956.936.370;28.824.536.084.966.400
355;Won;B;Energy;Poor;Annual;02-01-2022;4.847.781.490.135.540;2.212.508.929.415.910
356;Lost;None;Manufacturing;Poor;Annual;02-01-2022;38.001.230.412.126.200;16.583.570.054.335.800
357;Won;A;Government;Good;Annual;02-01-2022;5.302.977.241.792.200;3.626.048.465.766.510
358;Won;A;Academia;Good;Monthly;02-01-2022;38.598.630.600.613.500;9.729.854.775.380.920
359;Lost;A;Finance;Average;Monthly;02-01-2022;58.234.265.621.544.100;3.870.304.840.255.000
360;Won;B;Academia;Good;Monthly;02-01-2022;40.411.355.645.131.700;1.259.376.648.467.090
361;Lost;None;Government;Good;Annual;02-01-2022;4.292.545.834.963.620;1.997.459.695.974.330
362;Lost;None;Manufacturing;Good;Monthly;02-01-2022;45.139.230.982.335.000;24.578.832.987.548.800
363;Won;None;Government;Good;Monthly;02-01-2022;49.246.663.858.295.900;3.742.373.781.965.140
364;Won;A;Academia;Good;Annual;02-01-2022;4.105.389.415.114.480;3.081.614.667.626.360
365;Lost;A;Energy;Poor;Annual;02-01-2022;4.061.256.034.019.510;1.636.353.944.946.120
366;Won;None;Finance;Good;Annual;02-01-2022;5.008.067.915.205.270;463.947.543.672.254
367;Lost;B;Academia;Good;Annual;02-01-2022;4.280.281.877.649.370;27.973.550.001.780.600
368;Won;B;Finance;Good;Monthly;02-01-2022;47.256.067.809.876.900;48.901.692.233.417.000
369;Lost;B;Manufacturing;Good;Monthly;02-01-2022;4.094.465.485.269.700;27.623.079.256.654.800
370;Lost;None;Energy;Good;Monthly;02-01-2022;5.606.687.379.958.300;471.513.231.703.863
371;Lost;B;Manufacturing;Average;Monthly;02-01-2022;39.699.762.554.039.100;21.570.160.222.184.200
372;Won;None;Government;Good;Monthly;02-01-2022;52.348.950.960.511.800;1.816.557.653.415.450
373;Won;None;Government;Average;Monthly;02-01-2022;44.993.201.025.904.400;43.894.417.687.104.800
374;Lost;A;Academia;Average;Monthly;02-01-2022;4.268.250.108.430.680;1.840.981.568.261.150
375;Lost;None;Government;Good;Monthly;02-01-2022;4.897.883.006.691.460;34.386.080.883.320.900
376;Lost;None;Government;Average;Monthly;02-01-2022;5.704.985.696.355.620;5.269.251.377.442.360
377;Won;B;Academia;Good;Monthly;02-01-2022;39.937.147.983.807.900;12.560.184.198.070.800
378;Lost;A;Manufacturing;Good;Monthly;02-01-2022;4.376.802.399.522.760;25.739.375.678.921.000
379;Won;A;Government;Poor;Annual;02-01-2022;4.082.221.498.805.780;904.378.124.142.142
380;Lost;A;Manufacturing;Good;Annual;02-01-2022;3.650.165.046.290.780;3.067.158.062.695.770
381;Won;A;Manufacturing;Average;Annual;02-01-2022;4.195.122.802.086.410;2.656.934.873.686.670
382;Lost;A;Energy;Good;Annual;02-01-2022;456.808.261.719.032;30.304.047.901.295.500
383;Won;None;Government;Average;Annual;02-01-2022;4.602.553.977.620.170;20.821.067.495.585.900
384;Lost;None;Manufacturing;Good;Annual;02-01-2022;4.207.302.959.577.550;21.362.990.700.940.400
385;Won;A;Energy;Good;Annual;02-01-2022;4.475.375.076.688.670;25.938.164.357.827.600
386;Lost;B;Energy;Good;Annual;02-01-2022;4.196.616.801.200.750;28.798.676.799.089.600
387;Won;None;Academia;Good;Monthly;02-01-2022;4.347.305.725.128.040;24.308.541.532.201.100
388;Won;A;Energy;Good;Monthly;02-01-2022;4.237.246.180.236.550;32.499.899.576.436.800
389;Won;B;Manufacturing;Good;Annual;02-01-2022;3.987.707.362.706.280;3.527.602.693.467.530
390;Won;None;Academia;Good;Annual;02-01-2022;3.949.378.318.128.190;25.479.409.237.882.200
391;Won;B;Energy;Poor;Annual;02-01-2022;42.845.141.288.785.600;29.595.472.131.598.500
392;Lost;A;Manufacturing;Good;Monthly;02-01-2022;40.836.751.744.326.800;31.656.345.318.840.700
393;Lost;None;Manufacturing;Good;Monthly;02-01-2022;49.266.791.145.854;29.180.536.975.406.200
394;Won;B;Government;Poor;Monthly;02-01-2022;4.761.633.518.988.420;3.406.939.634.745.480
395;Lost;A;Manufacturing;Poor;Annual;02-01-2022;41.065.832.141.124.200;13.490.757.173.295.100
396;Lost;A;Manufacturing;Good;Monthly;02-01-2022;5.247.190.428.147.860;20.722.197.511.397.300
397;Lost;A;Manufacturing;Average;Monthly;02-01-2022;5.071.930.412.725.620;26.655.745.151.128.200
398;Lost;B;Manufacturing;Good;Monthly;02-01-2022;4.818.324.172.556.960;2.802.826.848.223.240
399;Won;None;Academia;Good;Annual;02-01-2022;37.996.222.339.070.700;19.426.720.986.873.300
400;Lost;None;Manufacturing;Good;Monthly;02-01-2022;43.691.898.041.160.300;1.586.813.866.524.400
401;Lost;A;Manufacturing;Good;Annual;02-01-2022;37.316.387.454.596.200;28.360.959.139.433.700
402;Lost;None;Energy;Average;Annual;02-01-2022;4.524.291.866.644.190;295.750.804.776.452
403;Lost;A;Manufacturing;Good;Annual;02-01-2022;4.566.207.611.451.250;15.302.722.397.085.800
404;Won;B;Government;Good;Monthly;02-01-2022;5.292.321.994.397.990;3.796.851.659.823.100
405;Lost;B;Government;Poor;Monthly;02-01-2022;4.907.584.368.238.190;4.334.286.144.619.000
406;Lost;A;Academia;Good;Annual;02-01-2022;30.916.426.341.422.500;1.961.199.197.282.390
407;Lost;B;Manufacturing;Good;Annual;02-01-2022;3.631.560.406.853.010;12.190.100.497.960.200
408;Lost;None;Academia;Good;Monthly;02-01-2022;3.260.344.370.482.870;2.117.386.605.475.740
409;Lost;B;Government;Good;Annual;02-01-2022;4.659.121.936.267.760;45.643.703.930.384.400
410;Won;A;Energy;Average;Annual;02-01-2022;4.649.403.245.439.230;23.541.476.922.856.600
411;Won;B;Finance;Average;Monthly;02-01-2022;55.833.266.251.531.200;38.937.945.596.883.500
412;Lost;B;Government;Average;Monthly;02-01-2022;51.081.191.594.098.000;2.831.540.286.922.750
413;Won;B;Academia;Good;Monthly;02-01-2022;4.173.919.015.522.820;20.069.298.221.100.900
414;Lost;A;Manufacturing;Good;Monthly;02-01-2022;43.019.448.534.000.400;19.321.287.134.266.900
415;Lost;A;Academia;Average;Monthly;02-01-2022;4.077.058.470.341.280;31.157.733.069.852.600
416;Won;A;Government;Average;Annual;02-01-2022;4.905.175.984.408.620;3.759.238.896.557.100
417;Lost;A;Energy;Average;Annual;02-01-2022;4.799.882.240.980.160;4.044.386.787.753.770
418;Lost;None;Manufacturing;Good;Monthly;02-01-2022;4.216.585.187.813.100;2.282.218.788.783.910
419;Won;A;Energy;Poor;Annual;02-01-2022;4.103.622.029.105.940;2.035.922.415.157.530
420;Won;None;Government;Good;Monthly;02-01-2022;5.314.479.652.650.050;43.182.608.214.971.500
421;Won;None;Academia;Average;Monthly;02-01-2022;399.001.485.791.402;1.769.435.042.071.830
422;Won;B;Government;Good;Monthly;02-01-2022;4.999.552.084.355.050;2.795.816.956.862.650
423;Lost;None;Manufacturing;Poor;Annual;02-01-2022;4.071.884.964.084.060;33.846.737.487.930.900
424;Won;A;Academia;Average;Monthly;02-01-2022;3.941.816.276.685.890;18.791.089.887.023.700
425;Won;A;Energy;Average;Monthly;02-01-2022;5.710.560.456.259.160;3.769.269.631.194.690
426;Won;A;Academia;Good;Annual;02-01-2022;30.635.789.177.639.000;1.825.220.839.216.170
427;Lost;B;Energy;Poor;Monthly;02-01-2022;54.813.244.560.036.000;4.728.946.173.412.100
428;Won;A;Energy;Poor;Monthly;02-01-2022;4.957.850.712.539.330;4.011.280.914.334.820
429;Won;B;Government;Good;Monthly;02-01-2022;5.278.098.200.969.680;39.233.511.997.869.700
430;Lost;None;Government;Good;Monthly;02-01-2022;4.126.775.092.642.070;1.559.353.821.058.620
431;Lost;A;Manufacturing;Good;Annual;02-01-2022;449.344.106.512.191;3.784.234.177.803.500
432;Lost;None;Finance;Good;Monthly;02-01-2022;5.543.762.755.769.760;41.038.551.314.476.500
433;Lost;None;Manufacturing;Good;Monthly;02-01-2022;3.806.370.788.863.950;37.784.138.781.181.800
434;Won;A;Finance;Good;Annual;02-01-2022;46.480.124.244.867;3.633.405.837.643.430
435;Lost;None;Government;Average;Annual;02-01-2022;4.204.229.356.635.750;15.280.560.854.519.100
436;Lost;A;Government;Good;Monthly;02-01-2022;5.484.774.908.127.400;41.210.535.591.616.900
437;Lost;A;Government;Average;Annual;02-01-2022;4.557.670.784.096.710;26.177.830.879.116.600
438;Lost;B;Manufacturing;Good;Monthly;02-01-2022;4.508.093.949.609.180;12.449.846.808.252.900
439;Lost;None;Manufacturing;Poor;Annual;02-01-2022;4.192.826.408.732.940;4.385.020.508.794.320
440;Won;B;Energy;Good;Annual;02-01-2022;4.382.851.826.465.980;12.745.506.657.115.100
441;Lost;None;Government;Good;Monthly;02-01-2022;5.128.485.779.679.390;13.525.473.964.143.800
442;Lost;None;Manufacturing;Poor;Annual;02-01-2022;4.804.223.120.438.800;36.856.179.574.043.300
443;Won;None;Manufacturing;Average;Monthly;02-01-2022;4.733.535.978.588.490;37.429.273.455.151.500
444;Won;None;Manufacturing;Average;Annual;02-01-2022;4.117.122.714.663.780;32.551.084.040.383.800
445;Won;B;Government;Good;Annual;02-01-2022;3.974.039.162.963.300;1.598.592.597.433.180
446;Lost;None;Government;Good;Monthly;02-01-2022;51.113.247.626.759.900;46.109.186.466.352.900
447;Won;B;Academia;Poor;Monthly;02-01-2022;4.527.599.458.184.740;28.271.528.283.891.200
448;Won;B;Finance;Good;Annual;02-01-2022;4.571.731.139.450.400;27.577.532.652.357.800
449;Won;A;Government;Good;Annual;02-01-2022;4.427.057.110.810.960;1.936.318.083.304.490
450;Won;B;Manufacturing;Good;Monthly;02-01-2022;44.220.254.707.434.200;3.359.501.567.163.580
451;Lost;A;Manufacturing;Good;Annual;02-01-2022;3.777.963.027.236.870;3.323.632.945.971.510
452;Lost;A;Manufacturing;Average;Monthly;02-01-2022;525.504.560.912.579;2.807.621.064.594.240
453;Won;None;Government;Poor;Annual;02-01-2022;3.993.009.352.506.290;22.367.869.856.901.000
454;Lost;None;Manufacturing;Good;Monthly;02-01-2022;332.294.237.854.518;11.684.285.495.297.400
455;Lost;None;Government;Poor;Annual;02-01-2022;3.922.237.121.210.120;21.411.829.866.297.400
456;Won;B;Energy;Average;Monthly;02-01-2022;53.831.838.861.887.800;23.871.617.853.326.700
457;Won;A;Academia;Poor;Annual;02-01-2022;399.011.272.712.213;15.832.486.560.550.700
458;Won;A;Government;Poor;Annual;02-01-2022;5.188.018.556.234.980;31.113.239.511.064.400
459;Lost;None;Academia;Good;Annual;02-01-2022;29.864.110.908.735.500;1.572.036.806.510.170
460;Lost;A;Academia;Good;Monthly;02-01-2022;3.375.763.290.165.930;882.193.018.881.747
461;Won;B;Energy;Good;Annual;02-01-2022;4.118.222.651.268.630;2.526.029.788.158.110
462;Won;B;Energy;Good;Monthly;02-01-2022;52.335.193.005.842.500;35.053.875.789.775
463;Won;None;Academia;Good;Monthly;02-01-2022;3.809.973.130.561.800;29.945.587.439.794.400
464;Won;B;Manufacturing;Poor;Annual;02-01-2022;4.169.330.957.110.160;20.757.130.312.602.200
465;Lost;None;Government;Good;Monthly;02-01-2022;4.666.287.054.290.100;23.276.349.655.553.900
466;Lost;None;Manufacturing;Good;Monthly;02-01-2022;46.865.714.478.583.900;27.277.073.192.314.000
467;Lost;A;Manufacturing;Good;Monthly;02-01-2022;509.327.955.164.423;3.278.693.299.453.690
468;Lost;B;Manufacturing;Good;Annual;02-01-2022;3.860.645.914.953.060;3.012.349.248.054.330
469;Lost;None;Government;Average;Monthly;02-01-2022;4.693.622.168.495.640;4.146.741.898.832.620
470;Won;B;Government;Average;Monthly;02-01-2022;6.312.625.465.976.590;4.477.253.963.682.390
471;Lost;None;Government;Good;Monthly;02-01-2022;437.923.140.459.382;25.417.679.072.849.500
472;Won;A;Government;Good;Monthly;02-01-2022;5.125.088.667.884.110;39.551.591.895.287.300
473;Won;None;Energy;Average;Annual;02-01-2022;45.168.745.784.263.000;23.935.315.552.126.600
474;Lost;None;Academia;Poor;Monthly;02-01-2022;3.646.068.052.500.500;28.825.081.283.892.400
475;Lost;A;Government;Good;Monthly;02-01-2022;50.274.961.905.219.600;27.896.134.574.746.400
476;Won;None;Government;Average;Annual;02-01-2022;499.566.993.944.703;29.146.561.647.092.800
477;Lost;B;Finance;Good;Annual;02-01-2022;5.589.004.294.169.150;4.192.942.146.378.210
478;Won;None;Manufacturing;Good;Annual;02-01-2022;4.250.882.480.900.130;4.296.593.144.941.500
479;Lost;B;Energy;Poor;Annual;02-01-2022;4.566.549.895.724.140;1.816.700.891.232.120
480;Lost;A;Energy;Average;Monthly;02-01-2022;5.453.105.865.417.170;45.460.757.973.060.000
481;Lost;None;Government;Good;Monthly;02-01-2022;4.709.194.647.237.040;4.585.027.045.397.750
482;Won;None;Government;Poor;Annual;02-01-2022;4.480.131.638.118.120;15.111.867.889.891.000
483;Lost;A;Manufacturing;Good;Monthly;02-01-2022;48.606.177.926.217.700;20.854.942.888.841.500
484;Won;B;Government;Average;Annual;02-01-2022;41.018.288.798.830.900;22.663.116.927.093.400
485;Lost;None;Government;Good;Monthly;02-01-2022;56.622.207.814.519;5.089.192.161.063.700
486;Won;A;Government;Good;Annual;02-01-2022;39.434.770.227.986.900;3.281.827.976.353.960
487;Lost;None;Manufacturing;Good;Annual;02-01-2022;41.646.336.622.447.900;13.548.015.104.638.300
488;Lost;None;Manufacturing;Average;Monthly;02-01-2022;4.466.187.900.046.350;151.645.726.405.899
489;Lost;None;Finance;Poor;Annual;02-01-2022;5.016.867.222.801.050;31.731.978.168.612.900
490;Won;A;Academia;Poor;Annual;02-01-2022;3.896.884.293.122.660;10.908.531.541.241.300
491;Lost;None;Finance;Average;Monthly;02-01-2022;53.164.626.806.303.700;43.511.974.940.403
492;Lost;None;Government;Good;Annual;02-01-2022;4.312.993.847.149.780;10.760.633.740.493.700
493;Won;None;Energy;Average;Annual;02-01-2022;45.622.345.243.594.700;20.559.043.736.476.700
494;Lost;A;Finance;Good;Annual;02-01-2022;4.998.394.046.491.030;4.949.722.919.831.470
495;Lost;B;Energy;Good;Annual;02-01-2022;48.504.960.969.761.200;32.535.926.391.583.500
496;Lost;B;Manufacturing;Average;Annual;02-01-2022;38.478.843.061.498.300;20.029.638.749.762.900
497;Won;A;Academia;Average;Monthly;02-01-2022;4.032.429.767.302.240;23.475.023.536.469.300
498;Won;B;Academia;Good;Annual;02-01-2022;33.413.957.829.002.300;215.164.412.810.509
499;Lost;B;Academia;Good;Annual;02-01-2022;39.461.649.652.126.100;40.369.992.574.126.200
500;Won;A;Academia;Poor;Annual;02-01-2022;39.650.529.399.683.000;578.067.443.616.829
501;Lost;B;Manufacturing;Good;Monthly;02-01-2022;5.713.029.290.878.220;30.732.464.748.281.300
502;Lost;A;Government;Average;Annual;02-01-2022;411.764.200.523.458;27.673.581.264.058.400
503;Lost;None;Manufacturing;Average;Monthly;02-01-2022;4.302.705.756.250.010;20.010.432.379.841.500
504;Lost;B;Energy;Poor;Annual;02-01-2022;4.127.477.680.878.080;17.550.008.685.627.200
505;Lost;B;Manufacturing;Good;Monthly;02-01-2022;44.516.496.951.449.700;29.950.283.616.980.900
506;Lost;B;Manufacturing;Good;Annual;02-01-2022;3.826.986.725.064.150;19.908.161.308.658.400
507;Lost;None;Manufacturing;Good;Annual;02-01-2022;26.980.481.362.460.900;2.736.568.001.192.170
508;Won;B;Academia;Good;Annual;02-01-2022;36.995.210.332.275.700;2.154.753.431.538.790
509;Won;B;Academia;Good;Monthly;02-01-2022;41.920.917.870.057.200;1.450.670.180.084.320
510;Won;B;Manufacturing;Average;Annual;02-01-2022;40.830.696.637.550.400;3.776.861.922.183.880
511;Won;A;Manufacturing;Good;Annual;02-01-2022;3.723.832.938.568.740;29.495.747.153.646.300
512;Won;A;Government;Average;Monthly;02-01-2022;4.824.414.910.233.960;14.517.491.438.122.100
513;Won;A;Energy;Good;Monthly;02-01-2022;47.786.238.001.730.400;34.059.600.036.782.900
514;Won;B;Manufacturing;Average;Annual;02-01-2022;5.057.641.163.255.500;3.932.032.469.045.920
515;Lost;A;Academia;Average;Monthly;02-01-2022;3.487.046.578.918.110;2.139.784.153.337.290
516;Won;None;Energy;Good;Monthly;02-01-2022;50.688.114.417.051.100;25.209.109.247.238.400
517;Lost;B;Government;Good;Monthly;02-01-2022;5.131.114.911.334.800;15.285.443.488.108.600
518;Won;B;Government;Good;Annual;02-01-2022;4.153.336.019.856.200;3.082.002.097.709.920
519;Lost;A;Government;Average;Annual;02-01-2022;4.201.537.108.680.890;14.203.845.306.504.600
520;Lost;B;Non-Profit;Average;Monthly;02-01-2022;4.006.691.961.728.350;28.263.774.266.450.700
521;Lost;B;Non-Profit;Average;Annual;02-01-2022;3.557.406.073.233.340;24.699.647.381.272.900
522;Lost;A;Non-Profit;Good;Monthly;02-01-2022;376.005.545.529.336;42.987.783.647.163.200
523;Won;None;Technology;Good;Annual;02-01-2022;4.676.927.890.113.150;370.550.639.521.348
524;Lost;B;Non-Profit;Good;Monthly;02-01-2022;38.754.261.101.678.500;16.454.001.501.846.700
525;Won;B;Non-Profit;Good;Annual;02-01-2022;2.892.720.926.578.430;2.256.990.970.481.270
526;Lost;A;Technology;Good;Monthly;02-01-2022;6.429.399.209.533.180;6.530.070.092.084.580
527;Lost;B;Non-Profit;Average;Monthly;02-01-2022;42.319.368.048.728.100;2.147.685.241.510.840
528;Won;A;Technology;Good;Monthly;02-01-2022;5.826.977.435.804.500;4.751.244.545.929.900
529;Won;A;Non-Profit;Good;Monthly;02-01-2022;3.811.233.639.699.470;17.476.968.374.599.600
530;Won;A;Non-Profit;Good;Annual;02-01-2022;31.251.813.690.517.500;7.083.726.635.165.670
531;Won;A;Non-Profit;Average;Annual;02-01-2022;39.933.578.680.509.000;2.717.080.272.433.630
532;Won;A;Technology;Good;Annual;02-01-2022;5.325.773.345.319.400;41.695.109.850.699.000
533;Lost;B;Technology;Average;Monthly;02-01-2022;5.108.260.556.651.470;29.438.928.637.086.500
534;Lost;B;Non-Profit;Average;Monthly;02-01-2022;3.684.361.673.275.960;28.238.620.281.815.300
535;Won;B;Non-Profit;Average;Annual;02-01-2022;36.050.969.825.592.400;2.222.989.924.025.350
536;Lost;None;Non-Profit;Good;Monthly;02-01-2022;3.799.882.914.219.740;36.183.604.105.152.400
537;Lost;B;Technology;Good;Monthly;02-01-2022;5.750.533.256.163.930;4.308.361.097.768.710
538;Won;A;Technology;Good;Monthly;02-01-2022;6.631.012.772.199.540;6.764.090.288.660.810
539;Won;None;Technology;Average;Monthly;02-01-2022;6.880.516.410.053.930;435.061.809.217.606
540;Won;B;Non-Profit;Good;Monthly;02-01-2022;397.661.273.846.924;27.029.170.182.284.300
541;Lost;B;Technology;Good;Monthly;02-01-2022;63.986.752.911.579.200;4.561.275.228.376.980
542;Won;A;Technology;Good;Monthly;02-01-2022;5.609.595.295.759.330;4.955.393.473.198.510
543;Won;B;Non-Profit;Average;Monthly;02-01-2022;4.902.378.692.833.770;2.040.819.106.506.910
544;Lost;B;Non-Profit;Poor;Annual;02-01-2022;30.537.024.909.203.600;8.239.610.847.199.260
545;Lost;None;Finance;Good;Monthly;03-01-2022;4.951.957.144.320.640;35.995.529.603.171.300
546;Won;A;Finance;Good;Monthly;03-01-2022;51.178.815.110.611;3.774.495.644.799.680
547;Lost;None;Finance;Good;Monthly;03-01-2022;61.105.275.101.392.100;4.338.792.576.685.840
548;Won;A;Government;Good;Annual;03-01-2022;46.473.954.057.837.800;18.962.484.812.903.500
549;Lost;None;Finance;Good;Annual;03-01-2022;4.285.210.260.619.930;3.711.657.159.753.290
550;Lost;None;Government;Good;Monthly;03-01-2022;4.902.193.179.887.020;23.274.045.072.285.800
551;Lost;None;Government;Average;Annual;03-01-2022;4.624.345.104.277.060;16.579.234.651.949.100
552;Lost;None;Manufacturing;Good;Monthly;03-01-2022;4.043.715.474.497.220;22.847.134.514.447.100
